Row number,Year,Stlkey,Station,Setno,IPHC Species Code,Scientific Name,Species Name,SampleType,HooksFished,HooksRetrieved,HooksObserved,Number Observed
1,2023,20230001,2331,1,54,Squalus suckleyi,Spiny Dogfish,20Hook,792.0,792.0,160.0,12.0
2,2023,20230001,2331,1,100,Junkis nonspecificus,Inanimate Object,20Hook,792.0,792.0,160.0,2.0
3,2023,20230001,2331,1,141,Raja binoculata,Big Skate,20Hook,792.0,792.0,160.0,1.0
4,2023,20230001,2331,1,143,Raja rhina,Longnose Skate,20Hook,792.0,792.0,160.0,1.0
5,2023,20230001,2331,1,148,Myoxocephalus polyacanthocephalus,Great Sculpin,20Hook,792.0,792.0,160.0,4.0
6,2023,20230001,2331,1,295,,unident. algae,20Hook,792.0,792.0,160.0,3.0
7,2023,20230001,2331,1,303,,Hook with Skin,20Hook,792.0,792.0,160.0,12.0
8,2023,20230001,2331,1,304,,Empty Hook,20Hook,792.0,792.0,160.0,116.0
9,2023,20230001,2331,1,305,,Hook with Bait,20Hook,792.0,792.0,160.0,9.0
10,2023,20230002,2152,2,26,Gadus macrocephalus,Pacific Cod,20Hook,792.0,792.0,160.0,1.0
11,2023,20230002,2152,2,54,Squalus suckleyi,Spiny Dogfish,20Hook,792.0,792.0,160.0,9.0
12,2023,20230002,2152,2,143,Raja rhina,Longnose Skate,20Hook,792.0,792.0,160.0,5.0
13,2023,20230002,2152,2,212,Halipteris californica,Sea Whip,20Hook,792.0,792.0,160.0,1.0
14,2023,20230002,2152,2,303,,Hook with Skin,20Hook,792.0,792.0,160.0,15.0
15,2023,20230002,2152,2,304,,Empty Hook,20Hook,792.0,792.0,160.0,113.0
16,2023,20230002,2152,2,305,,Hook with Bait,20Hook,792.0,792.0,160.0,1.0
17,2023,20230003,2324,3,26,Gadus macrocephalus,Pacific Cod,20Hook,792.0,792.0,160.0,1.0
18,2023,20230003,2324,3,303,,Hook with Skin,20Hook,792.0,792.0,160.0,25.0
19,2023,20230003,2324,3,304,,Empty Hook,20Hook,792.0,792.0,160.0,78.0
20,2023,20230003,2324,3,305,,Hook with Bait,20Hook,792.0,792.0,160.0,36.0
21,2023,20230004,2318,4,52,Pectinid,Scallop,20Hook,792.0,792.0,160.0,1.0
22,2023,20230004,2318,4,54,Squalus suckleyi,Spiny Dogfish,20Hook,792.0,792.0,160.0,1.0
23,2023,20230004,2318,4,87,Sebastes maliger,Quillback Rockfish,20Hook,792.0,792.0,160.0,1.0
24,2023,20230004,2318,4,93,,Sea Anemone,20Hook,792.0,792.0,160.0,1.0
25,2023,20230004,2318,4,143,Raja rhina,Longnose Skate,20Hook,792.0,792.0,160.0,2.0
26,2023,20230004,2318,4,303,,Hook with Skin,20Hook,792.0,792.0,160.0,1.0
27,2023,20230004,2318,4,304,,Empty Hook,20Hook,792.0,792.0,160.0,137.0
28,2023,20230004,2318,4,305,,Hook with Bait,20Hook,792.0,792.0,160.0,2.0
29,2023,20230005,2322,5,141,Raja binoculata,Big Skate,20Hook,784.0,784.0,160.0,1.0
30,2023,20230005,2322,5,143,Raja rhina,Longnose Skate,20Hook,784.0,784.0,160.0,1.0
31,2023,20230005,2322,5,304,,Empty Hook,20Hook,784.0,784.0,160.0,143.0
32,2023,20230006,2343,6,54,Squalus suckleyi,Spiny Dogfish,20Hook,792.0,792.0,160.0,4.0
33,2023,20230006,2343,6,81,(includes brittle and basketstars),unident. Starfish,20Hook,792.0,792.0,160.0,1.0
34,2023,20230006,2343,6,141,Raja binoculata,Big Skate,20Hook,792.0,792.0,160.0,1.0
35,2023,20230006,2343,6,143,Raja rhina,Longnose Skate,20Hook,792.0,792.0,160.0,1.0
36,2023,20230006,2343,6,295,,unident. algae,20Hook,792.0,792.0,160.0,1.0
37,2023,20230006,2343,6,303,,Hook with Skin,20Hook,792.0,792.0,160.0,12.0
38,2023,20230006,2343,6,304,,Empty Hook,20Hook,792.0,792.0,160.0,103.0
39,2023,20230006,2343,6,305,,Hook with Bait,20Hook,792.0,792.0,160.0,15.0
40,2023,20230007,2316,7,54,Squalus suckleyi,Spiny Dogfish,20Hook,792.0,792.0,160.0,6.0
41,2023,20230007,2316,7,148,Myoxocephalus polyacanthocephalus,Great Sculpin,20Hook,792.0,792.0,160.0,1.0
42,2023,20230007,2316,7,296,,unident. organic matter,20Hook,792.0,792.0,160.0,1.0
43,2023,20230007,2316,7,303,,Hook with Skin,20Hook,792.0,792.0,160.0,8.0
44,2023,20230007,2316,7,304,,Empty Hook,20Hook,792.0,792.0,160.0,129.0
45,2023,20230007,2316,7,305,,Hook with Bait,20Hook,792.0,792.0,160.0,2.0
46,2023,20230008,2320,8,54,Squalus suckleyi,Spiny Dogfish,20Hook,792.0,792.0,160.0,35.0
47,2023,20230008,2320,8,303,,Hook with Skin,20Hook,792.0,792.0,160.0,6.0
48,2023,20230008,2320,8,304,,Empty Hook,20Hook,792.0,792.0,160.0,117.0
49,2023,20230009,2314,9,48,Cancer magister,Dungeness Crab,20Hook,784.0,784.0,160.0,1.0
50,2023,20230009,2314,9,54,Squalus suckleyi,Spiny Dogfish,20Hook,784.0,784.0,160.0,43.0
51,2023,20230009,2314,9,74,Pelecypoda,Bivalve,20Hook,784.0,784.0,160.0,1.0
52,2023,20230009,2314,9,303,,Hook with Skin,20Hook,784.0,784.0,160.0,11.0
53,2023,20230009,2314,9,304,,Empty Hook,20Hook,784.0,784.0,160.0,96.0
54,2023,20230009,2314,9,305,,Hook with Bait,20Hook,784.0,784.0,160.0,2.0
55,2023,20230010,2312,10,54,Squalus suckleyi,Spiny Dogfish,20Hook,800.0,800.0,160.0,18.0
56,2023,20230010,2312,10,73,Holothuroidea,Sea Cucumber,20Hook,800.0,800.0,160.0,1.0
57,2023,20230010,2312,10,103,(includes bivalve and gastropods),Shells,20Hook,800.0,800.0,160.0,1.0
58,2023,20230010,2312,10,303,,Hook with Skin,20Hook,800.0,800.0,160.0,19.0
59,2023,20230010,2312,10,304,,Empty Hook,20Hook,800.0,800.0,160.0,114.0
60,2023,20230010,2312,10,305,,Hook with Bait,20Hook,800.0,800.0,160.0,1.0
61,2023,20230011,2308,11,54,Squalus suckleyi,Spiny Dogfish,20Hook,792.0,792.0,160.0,15.0
62,2023,20230011,2308,11,81,(includes brittle and basketstars),unident. Starfish,20Hook,792.0,792.0,160.0,6.0
63,2023,20230011,2308,11,93,,Sea Anemone,20Hook,792.0,792.0,160.0,2.0
64,2023,20230011,2308,11,303,,Hook with Skin,20Hook,792.0,792.0,160.0,14.0
65,2023,20230011,2308,11,304,,Empty Hook,20Hook,792.0,792.0,160.0,112.0
66,2023,20230011,2308,11,305,,Hook with Bait,20Hook,792.0,792.0,160.0,1.0
67,2023,20230012,2302,12,48,Cancer magister,Dungeness Crab,20Hook,792.0,792.0,160.0,4.0
68,2023,20230012,2302,12,54,Squalus suckleyi,Spiny Dogfish,20Hook,792.0,792.0,160.0,15.0
69,2023,20230012,2302,12,129,Galeorhinus zyopterus,Soupfin Shark,20Hook,792.0,792.0,160.0,2.0
70,2023,20230012,2302,12,210,Pycnopodia helianthoides,Sunflower Sea Star,20Hook,792.0,792.0,160.0,2.0
71,2023,20230012,2302,12,303,,Hook with Skin,20Hook,792.0,792.0,160.0,23.0
72,2023,20230012,2302,12,304,,Empty Hook,20Hook,792.0,792.0,160.0,105.0
73,2023,20230013,2304,13,54,Squalus suckleyi,Spiny Dogfish,20Hook,792.0,792.0,160.0,14.0
74,2023,20230013,2304,13,81,(includes brittle and basketstars),unident. Starfish,20Hook,792.0,792.0,160.0,6.0
75,2023,20230013,2304,13,141,Raja binoculata,Big Skate,20Hook,792.0,792.0,160.0,2.0
76,2023,20230013,2304,13,247,Octopus dofleini,Giant Pacific Octopus,20Hook,792.0,792.0,160.0,1.0
77,2023,20230013,2304,13,303,,Hook with Skin,20Hook,792.0,792.0,160.0,9.0
78,2023,20230013,2304,13,304,,Empty Hook,20Hook,792.0,792.0,160.0,96.0
79,2023,20230013,2304,13,305,,Hook with Bait,20Hook,792.0,792.0,160.0,16.0
80,2023,20230014,2309,14,54,Squalus suckleyi,Spiny Dogfish,20Hook,792.0,792.0,160.0,13.0
81,2023,20230014,2309,14,81,(includes brittle and basketstars),unident. Starfish,20Hook,792.0,792.0,160.0,1.0
82,2023,20230014,2309,14,92,Ptilosarcus gurneyi,Sea Pen,20Hook,792.0,792.0,160.0,1.0
83,2023,20230014,2309,14,303,,Hook with Skin,20Hook,792.0,792.0,160.0,6.0
84,2023,20230014,2309,14,304,,Empty Hook,20Hook,792.0,792.0,160.0,135.0
85,2023,20230015,2317,15,54,Squalus suckleyi,Spiny Dogfish,20Hook,792.0,792.0,160.0,30.0
86,2023,20230015,2317,15,60,Sebastes brevispinis,Silvergray Rockfish,20Hook,792.0,792.0,160.0,2.0
87,2023,20230015,2317,15,143,Raja rhina,Longnose Skate,20Hook,792.0,792.0,160.0,3.0
88,2023,20230015,2317,15,295,,unident. algae,20Hook,792.0,792.0,160.0,6.0
89,2023,20230015,2317,15,303,,Hook with Skin,20Hook,792.0,792.0,160.0,4.0
90,2023,20230015,2317,15,304,,Empty Hook,20Hook,792.0,792.0,160.0,93.0
91,2023,20230015,2317,15,305,,Hook with Bait,20Hook,792.0,792.0,160.0,2.0
92,2023,20230015,2317,15,307,,Bent/Broken/Missing,20Hook,792.0,792.0,160.0,1.0
93,2023,20230016,2315,16,54,Squalus suckleyi,Spiny Dogfish,20Hook,800.0,800.0,160.0,12.0
94,2023,20230016,2315,16,141,Raja binoculata,Big Skate,20Hook,800.0,800.0,160.0,1.0
95,2023,20230016,2315,16,143,Raja rhina,Longnose Skate,20Hook,800.0,800.0,160.0,1.0
96,2023,20230016,2315,16,303,,Hook with Skin,20Hook,800.0,800.0,160.0,76.0
97,2023,20230016,2315,16,304,,Empty Hook,20Hook,800.0,800.0,160.0,61.0
98,2023,20230016,2315,16,305,,Hook with Bait,20Hook,800.0,800.0,160.0,9.0
99,2023,20230017,2147,17,54,Squalus suckleyi,Spiny Dogfish,20Hook,800.0,800.0,160.0,28.0
100,2023,20230017,2147,17,124,Sebastes caurinus,Copper Rockfish,20Hook,800.0,800.0,160.0,3.0
101,2023,20230017,2147,17,232,Gorgonacea,Gorgonian coral,20Hook,800.0,800.0,160.0,1.0
102,2023,20230017,2147,17,295,,unident. algae,20Hook,800.0,800.0,160.0,6.0
103,2023,20230017,2147,17,303,,Hook with Skin,20Hook,800.0,800.0,160.0,17.0
104,2023,20230017,2147,17,304,,Empty Hook,20Hook,800.0,800.0,160.0,92.0
105,2023,20230017,2147,17,305,,Hook with Bait,20Hook,800.0,800.0,160.0,2.0
106,2023,20230017,2147,17,307,,Bent/Broken/Missing,20Hook,800.0,800.0,160.0,1.0
107,2023,20230018,2148,18,54,Squalus suckleyi,Spiny Dogfish,20Hook,792.0,792.0,159.0,1.0
108,2023,20230018,2148,18,93,,Sea Anemone,20Hook,792.0,792.0,159.0,1.0
109,2023,20230018,2148,18,303,,Hook with Skin,20Hook,792.0,792.0,159.0,15.0
110,2023,20230018,2148,18,304,,Empty Hook,20Hook,792.0,792.0,159.0,124.0
111,2023,20230018,2148,18,305,,Hook with Bait,20Hook,792.0,792.0,159.0,5.0
112,2023,20230018,2148,18,307,,Bent/Broken/Missing,20Hook,792.0,792.0,159.0,1.0
113,2023,20230019,2150,19,26,Gadus macrocephalus,Pacific Cod,20Hook,792.0,792.0,160.0,3.0
114,2023,20230019,2150,19,54,Squalus suckleyi,Spiny Dogfish,20Hook,792.0,792.0,160.0,1.0
115,2023,20230019,2150,19,141,Raja binoculata,Big Skate,20Hook,792.0,792.0,160.0,2.0
116,2023,20230019,2150,19,303,,Hook with Skin,20Hook,792.0,792.0,160.0,7.0
117,2023,20230019,2150,19,304,,Empty Hook,20Hook,792.0,792.0,160.0,135.0
118,2023,20230019,2150,19,305,,Hook with Bait,20Hook,792.0,792.0,160.0,2.0
119,2023,20230020,2256,1,11,Citharichthys spp,Sand Dab,20Hook,792.0,792.0,160.0,1.0
120,2023,20230020,2256,1,21,Ophiodon elongatus,Lingcod,20Hook,792.0,792.0,160.0,1.0
121,2023,20230020,2256,1,54,Squalus suckleyi,Spiny Dogfish,20Hook,792.0,792.0,160.0,15.0
122,2023,20230020,2256,1,81,(includes brittle and basketstars),unident. Starfish,20Hook,792.0,792.0,160.0,10.0
123,2023,20230020,2256,1,82,Echinozoa,Sea Urchin,20Hook,792.0,792.0,160.0,1.0
124,2023,20230020,2256,1,87,Sebastes maliger,Quillback Rockfish,20Hook,792.0,792.0,160.0,2.0
125,2023,20230020,2256,1,124,Sebastes caurinus,Copper Rockfish,20Hook,792.0,792.0,160.0,2.0
126,2023,20230020,2256,1,146,Hemilepidotus jordani,Yellow Irish Lord,20Hook,792.0,792.0,160.0,1.0
127,2023,20230020,2256,1,303,,Hook with Skin,20Hook,792.0,792.0,160.0,32.0
128,2023,20230020,2256,1,304,,Empty Hook,20Hook,792.0,792.0,160.0,35.0
129,2023,20230020,2256,1,305,,Hook with Bait,20Hook,792.0,792.0,160.0,60.0
130,2023,20230021,2041,2,26,Gadus macrocephalus,Pacific Cod,20Hook,792.0,792.0,160.0,1.0
131,2023,20230021,2041,2,54,Squalus suckleyi,Spiny Dogfish,20Hook,792.0,792.0,160.0,1.0
132,2023,20230021,2041,2,141,Raja binoculata,Big Skate,20Hook,792.0,792.0,160.0,6.0
133,2023,20230021,2041,2,143,Raja rhina,Longnose Skate,20Hook,792.0,792.0,160.0,1.0
134,2023,20230021,2041,2,303,,Hook with Skin,20Hook,792.0,792.0,160.0,55.0
135,2023,20230021,2041,2,304,,Empty Hook,20Hook,792.0,792.0,160.0,22.0
136,2023,20230021,2041,2,305,,Hook with Bait,20Hook,792.0,792.0,160.0,69.0
137,2023,20230022,2043,3,54,Squalus suckleyi,Spiny Dogfish,20Hook,792.0,792.0,160.0,1.0
138,2023,20230022,2043,3,141,Raja binoculata,Big Skate,20Hook,792.0,792.0,160.0,1.0
139,2023,20230022,2043,3,143,Raja rhina,Longnose Skate,20Hook,792.0,792.0,160.0,2.0
140,2023,20230022,2043,3,247,Octopus dofleini,Giant Pacific Octopus,20Hook,792.0,792.0,160.0,1.0
141,2023,20230022,2043,3,303,,Hook with Skin,20Hook,792.0,792.0,160.0,10.0
142,2023,20230022,2043,3,304,,Empty Hook,20Hook,792.0,792.0,160.0,17.0
143,2023,20230022,2043,3,305,,Hook with Bait,20Hook,792.0,792.0,160.0,122.0
144,2023,20230022,2043,3,307,,Bent/Broken/Missing,20Hook,792.0,792.0,160.0,2.0
145,2023,20230023,2042,4,14,Eopsetta jordani,Petrale Sole,20Hook,792.0,792.0,160.0,2.0
146,2023,20230023,2042,4,81,(includes brittle and basketstars),unident. Starfish,20Hook,792.0,792.0,160.0,1.0
147,2023,20230023,2042,4,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,792.0,792.0,160.0,1.0
148,2023,20230023,2042,4,143,Raja rhina,Longnose Skate,20Hook,792.0,792.0,160.0,1.0
