Row number,Year,Stlkey,Vessel code,Station,Setno,Gear,IPHC Reg Area,IPHC Stat Area,IPHC Charter Region,Purpose Code,Date,Eff,Ineffcde,BeginLat,BeginLon,BeginDepth (fm),EndLat,EndLon,EndDepth (fm),MidLat fished,MidLon fished,AvgDepth (fm),Lat - Grid target,Lon - Grid target,O32 Pacific halibut count,U32 Pacific halibut count,O32 Pacific halibut weight,U32 Pacific halibut weight,No. skates set,No. skates hauled,Avg no. hook/skate,Effective skates hauled,Soak time (min.),Profiler Lat,Profiler Lon,Profiler Bottom Depth (m),Temp C,Max Pressure (db),pH,Salinity PSU,Sigma-t,Oxygen_ml,Oxygen_umol,Oxygen_sat
1,2023,20230001,PEN,2331,1,Fixed Hook,2B,134,Charlotte,Standard Grid,27-May-23,Y,,54.34970,-130.27550,30,54.32170,-130.31970,22,54.3357,-130.2977,28,54.333,-130.298,3,0,122,0,8,8,99,7.95,461,,,,,,,,,,,
2,2023,20230002,PEN,2152,2,Fixed Hook,2B,134,Charlotte,Standard Grid,27-May-23,Y,,54.18520,-130.59250,63,54.15080,-130.57550,46,54.1680,-130.5840,61,54.167,-130.583,17,37,392,258,8,8,99,7.95,682,,,,,,,,,,,
3,2023,20230003,PEN,2324,3,Fixed Hook,2B,133,Charlotte,Standard Grid,28-May-23,Y,,53.98900,-130.84100,36,53.99050,-130.90430,44,53.9898,-130.8727,40,54.000,-130.867,9,32,188,212,8,8,99,7.95,486,,,,,,,,,,,
4,2023,20230004,PEN,2318,4,Fixed Hook,2B,133,Charlotte,Standard Grid,28-May-23,Y,,53.83330,-131.12170,25,53.83330,-131.18530,25,53.8333,-131.1535,26,53.833,-131.149,34,44,620,343,8,8,99,7.95,578,,,,,,,,,,,
5,2023,20230005,PEN,2322,5,Fixed Hook,2B,133,Charlotte,Standard Grid,28-May-23,Y,,53.99970,-131.17650,20,53.99980,-131.11200,20,53.9997,-131.1442,20,54.000,-131.150,20,57,447,423,8,8,98,7.87,694,,,,,,,,,,,
6,2023,20230006,PEN,2343,6,Fixed Hook,2B,133,Charlotte,Standard Grid,29-May-23,Y,,53.99980,-131.37630,13,54.00000,-131.44130,9,54.0000,-131.4088,11,54.000,-131.432,81,25,"1,777",200,8,8,99,7.95,461,,,,,,,,,,,
7,2023,20230007,PEN,2316,7,Fixed Hook,2B,133,Charlotte,Standard Grid,29-May-23,Y,,53.83320,-131.40700,10,53.83320,-131.47380,9,53.8332,-131.4405,10,53.833,-131.432,47,16,"1,308",123,8,8,99,7.95,561,,,,,,,,,,,
8,2023,20230008,PEN,2320,8,Fixed Hook,2B,133,Charlotte,Standard Grid,29-May-23,Y,,53.83370,-131.67870,9,53.83330,-131.74420,10,53.8335,-131.7115,8,53.833,-131.716,16,3,415,28,8,8,99,7.95,647,,,,,,,,,,,
9,2023,20230009,PEN,2314,9,Fixed Hook,2B,133,Charlotte,Standard Grid,30-May-23,Y,,53.65870,-131.73820,8,53.65850,-131.67200,11,53.6587,-131.7050,10,53.667,-131.716,31,2,776,14,8,8,98,7.87,485,,,,,,,,,,,
10,2023,20230010,PEN,2312,10,Fixed Hook,2B,121,Charlotte,Standard Grid,30-May-23,Y,,53.66650,-131.47280,11,53.66680,-131.40900,11,53.6667,-131.4408,11,53.666,-131.429,35,6,790,53,8,8,100,8.03,596,,,,,,,,,,,
